Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Amit,Season,Anupam Mittal,Ashneer Grover,Namita Thapar,Aman Gupta,Peyush Bansal,Vineeta Singh,Ghazal Alagh,Amit Jain,Sharks
1,1,Blue Pine Industries,Food and Beverages,7500000,0,18%,N,Y,N,Y,N,Y,N,N,1,,Ashneer Grover,,Aman Gupta,,Vineeta Singh,,,
1,2,Boox scooters,Transportation,4000000,0,50%,N,Y,N,N,N,Y,N,N,1,,Ashneer Grover,,,,Vineeta Singh,,,
1,3,Heart up my Sleeves,Retail and Fashion,2500000,0,30%,Y,N,N,N,N,Y,N,N,1,Anupam Mittal,,,,,Vineeta Singh,,,
2,4,Tagz Foods,Food and Beverages,7000000,0,3%,N,Y,N,N,N,N,N,N,1,,Ashneer Grover,,,,,,,
2,5,Head and Heart,Education,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
2,6,Agro tourism,Agriculture,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
3,7,Qzense Labs,Technology,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
3,8,Peeschute,Health and Fitness,7500000,0,6%,N,N,N,Y,N,N,N,N,1,,,,Aman Gupta,,,,,
3,9,NOCD,Food and Beverages,2000000,3000000,15%,N,N,N,N,N,Y,N,N,1,,,,,,Vineeta Singh,,,
4,10,Cosiq,Health and Fitness,5000000,0,25%,Y,N,N,N,N,Y,N,N,1,Anupam Mittal,,,,,Vineeta Singh,,,
4,11,JhaJi Achaar,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
4,12,Bummer,Retail and Fashion,7500000,0,8%,N,N,Y,Y,N,N,N,N,1,,,Namita Thapar,Aman Gupta,,,,,
5,13, Revamp Moto,Transportation,1000000,0,2%,Y,N,N,Y,N,N,N,N,1,Anupam Mittal,,,Aman Gupta,,,,,
5,14,Hungry Heads,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
5,15,Shrawani Engineers,Health and Fitness,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
6,16,Skippi Pops,Food and Beverages,1000000,0,15%,Y,Y,Y,Y,N,Y,N,N,1,Anupam Mittal,Ashneer Grover,Namita Thapar,Aman Gupta,,Vineeta Singh,,,
6,17,Menstrupedia,Education,5000000,0,20%,N,N,Y,N,N,N,N,N,1,,,Namita Thapar,,,,,,
6,18,Hecolll,Retail and Fashion,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
7,19,Raising Superstars,Education,1000000,0,4%,N,Y,N,Y,N,N,N,N,1,,Ashneer Grover,,Aman Gupta,,,,,
7,20,Torch-it,Technology,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
7,21,La Kheer Deli,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
8,22,Beyond Snack,Food and Beverages,5000000,0,3%,N,Y,N,Y,N,N,N,N,1,,Ashneer Grover,,Aman Gupta,,,,,
8,23,Vivalyf Innovations- Easy Life,Health and Fitness,5600000,0,33%,Y,N,N,N,Y,N,N,N,1,Anupam Mittal,,,,Peyush Bansal,,,,
8,24,Motion Breeze,Transportation,3000000,0,6%,N,Y,N,N,N,N,N,N,1,,Ashneer Grover,,,,,,,
9,25,Altor,Transportation,5000000,0,7%,N,N,Y,Y,N,N,N,N,1,,,Namita Thapar,Aman Gupta,,,,,
9,26,Ariro,Accessories,5000000,0,10%,N,N,N,Y,Y,N,N,N,1,,,,Aman Gupta,Peyush Bansal,,,,
9,27,Kabira Handmade,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
10,28,Nuutjob,Accessories,2500000,0,20%,N,N,Y,Y,Y,N,N,N,1,,,Namita Thapar,Aman Gupta,Peyush Bansal,,,,
10,29,Meatyour,Food and Beverages,3000000,0,20%,Y,N,N,Y,Y,N,N,N,1,Anupam Mittal,,,Aman Gupta,Peyush Bansal,,,,
10,30,EventBeep,Social,3000000,0,3%,N,Y,N,Y,Y,N,N,N,1,,Ashneer Grover,,Aman Gupta,Peyush Bansal,,,,
11,31,Gopal's 56,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
11,32,ARRCOAT Surface Textures,Accessories,5000000,0,15%,Y,N,N,N,N,N,N,N,1,Anupam Mittal,,,,,,,,
11,33,Farda,Retail and Fashion,3000000,0,20%,N,N,Y,Y,N,N,N,N,1,,,Namita Thapar,Aman Gupta,,,,,
12,34,Auli Lifestyle,Health and Fitness,7500000,0,5%,N,N,Y,N,N,N,N,N,1,,,Namita Thapar,,,,,,
12,35,SweeDesi,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
12,36,LOKA,Technology,4000000,0,24%,Y,N,N,Y,Y,N,N,N,1,Anupam Mittal,,,Aman Gupta,Peyush Bansal,,,,
13,37,Annie,Education,1000000,0,3%,Y,N,Y,N,Y,N,N,N,1,Anupam Mittal,,Namita Thapar,,Peyush Bansal,,,,
13,38,Caragreen ,Accessories,5000000,0,20%,Y,N,N,N,Y,N,N,N,1,Anupam Mittal,,,,Peyush Bansal,,,,
13,39,The Yarn Bazaar,Retail and Fashion,1000000,0,10%,Y,Y,N,Y,Y,N,N,N,1,Anupam Mittal,Ashneer Grover,,Aman Gupta,Peyush Bansal,,,,
14,40,The Renal Project,Health and Fitness,1000000,0,6%,N,N,Y,Y,N,N,N,N,1,,,Namita Thapar,Aman Gupta,,,,,
14,41,Morikko Pure Foods,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
14,42,Good Good Piggy Bank,Education,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
15,43,Hammer Lifestyle,Technology,1000000,0,40%,N,N,N,Y,N,N,N,N,1,,,,Aman Gupta,,,,,
15,44,PNT,Technology,2500000,2500000,25%,N,N,N,N,Y,N,N,N,1,,,,,Peyush Bansal,,,,
15,45,Cocofit,Food and Beverages,500000,0,5%,Y,N,Y,Y,N,N,N,N,1,Anupam Mittal,,Namita Thapar,Aman Gupta,,,,,
16,46,Bamboo India,Accessories,5000000,3000000,4%,Y,Y,N,N,N,N,N,N,1,Anupam Mittal,Ashneer Grover,,,,,,,
16,47,Flying Furr,Health and Fitness,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
16,48,Beyond Water,Food and Beverages,7500000,0,15%,N,N,Y,Y,N,N,N,N,1,,,Namita Thapar,Aman Gupta,,,,,
16,49,Let's Try,Food and Beverages,4500000,0,12%,Y,N,N,Y,N,N,N,N,1,Anupam Mittal,,,Aman Gupta,,,,,
17,50,Find Your Kicks India,Retail and Fashion,5000000,0,25%,Y,Y,Y,Y,Y,N,N,N,1,Anupam Mittal,Ashneer Grover,Namita Thapar,Aman Gupta,Peyush Bansal,,,,
17,51,Aas Vidyalaya,Education,1500000,0,15%,N,Y,Y,N,Y,N,N,N,1,,Ashneer Grover,Namita Thapar,,Peyush Bansal,,,,
17,52,Outbox,Accessories,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
17,53,RoadBounce,Technology,8000000,0,20%,N,N,N,N,Y,N,N,N,1,,,,,Peyush Bansal,,,,
18,54,Mommy's Kitchen,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
18,55,India Hemp and Co,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
18,56,Otua,Transportation,100000,9900000,1%,N,Y,N,N,N,N,N,N,1,,Ashneer Grover,,,,,,,
18,57,Anthyesti,Accessories,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
